Level,Date and Time,Source,Event ID,Task Category,Description
Warning,02-11-2022 08:50,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user SHOHID-PC\SHOHID SID (S-1-5-21-2091211461-3178656723-4261672445-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.1171_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,02-11-2022 08:49,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user SHOHID-PC\SHOHID SID (S-1-5-21-2091211461-3178656723-4261672445-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.1171_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,02-11-2022 08:49,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user SHOHID-PC\SHOHID SID (S-1-5-21-2091211461-3178656723-4261672445-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.1171_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,02-11-2022 08:49,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user SHOHID-PC\SHOHID SID (S-1-5-21-2091211461-3178656723-4261672445-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.1171_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Intel - SoftwareComponent - 2130.1.16.1
Warning,02-11-2022 08:48,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user SHOHID-PC\SHOHID SID (S-1-5-21-2091211461-3178656723-4261672445-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.1171_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,02-11-2022 08:48,Microsoft-Windows-UserPnp,20001,-7005,Driver Management concluded the process to install driver lms.inf_amd64_fddb643595e0b8d0 for Device Instance ID SWD\DRIVERENUM\OEM_LMS_COMPONENT&4&1F2A6A18&0 with the following status: 0x0.
Information,02-11-2022 08:48,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Intel(R) Management and Security Application Local Management Service
Service File Name:  %SystemRoot%\System32\DriverStore\FileRepository\lms.inf_amd64_fddb643595e0b8d0\LMS.exe
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Intel - SoftwareComponent - 2130.1.16.1
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Intel - SoftwareComponent - 1.41.2021.121
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Intel - SoftwareComponent - 1.41.2021.121
Information,02-11-2022 08:48,Microsoft-Windows-UserPnp,20001,-7005,Driver Management concluded the process to install driver dal.inf_amd64_b5484efd38adbe8d for Device Instance ID SWD\DRIVERENUM\OEM_DAL_COMPONENT&4&1F2A6A18&0 with the following status: 0x0.
Information,02-11-2022 08:48,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Intel(R) Dynamic Application Loader Host Interface Service
Service File Name:  %SystemRoot%\System32\DriverStore\FileRepository\dal.inf_amd64_b5484efd38adbe8d\jhi_service.exe
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Intel - SoftwareComponent - 1.63.1155.1
Information,02-11-2022 08:48,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Intel - SoftwareComponent - 1.63.1155.1
Information,02-11-2022 08:48,Microsoft-Windows-UserPnp,20001,-7005,Driver Management concluded the process to install driver iclsclient.inf_amd64_76523213b78d9046 for Device Instance ID SWD\DRIVERENUM\OEM_ICLS_COMPONENT&4&1F2A6A18&0 with the following status: 0x0.
Information,02-11-2022 08:48,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Intel(R) TPM Provisioning Service
Service File Name:  %SystemRoot%\System32\DriverStore\FileRepository\iclsclient.inf_amd64_76523213b78d9046\lib\TPMProvisioningService.exe
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,02-11-2022 08:48,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Intel(R) Capability Licensing Service TCP IP Interface
Service File Name:  %SystemRoot%\System32\DriverStore\FileRepository\iclsclient.inf_amd64_76523213b78d9046\lib\SocketHeciServer.exe
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
